Block	Agreement	Matches	SNP count
1	3	PeathHapcutMix	3
2	3	PeathHapcutMix	2
3	3	PeathHapcutMix	2
4	3	PeathHapcutMix	2
5	3	PeathHapcutMix	2
6	3	PeathHapcutMix	3
7	3	PeathHapcutMix	2
8	3	PeathHapcutMix	2
9	3	PeathHapcutMix	2
10	3	PeathHapcutMix	2
11	3	PeathHapcutMix	2
12	3	PeathHapcutMix	2
13	3	PeathHapcutMix	2
14	3	PeathHapcutMix	2
15	3	PeathHapcutMix	2
16	3	PeathHapcutMix	2
17	3	PeathHapcutMix	2
18	3	PeathHapcutMix	2
19	3	PeathHapcutMix	2
20	3	PeathHapcutMix	2
21	3	PeathHapcutMix	2
22	3	PeathHapcutMix	2
23	3	PeathHapcutMix	2
24	3	PeathHapcutMix	2
25	3	PeathHapcutMix	5
26	3	PeathHapcutMix	3
27	3	PeathHapcutMix	3
28	3	PeathHapcutMix	2
29	3	PeathHapcutMix	3
30	3	PeathHapcutMix	3
31	3	PeathHapcutMix	2
32	3	PeathHapcutMix	2
33	3	PeathHapcutMix	5
34	3	PeathHapcutMix	5
35	3	PeathHapcutMix	2
36	3	PeathHapcutMix	2
37	3	PeathHapcutMix	2
38	3	PeathHapcutMix	7
39	3	PeathHapcutMix	2
40	3	PeathHapcutMix	2
41	3	PeathHapcutMix	3
42	3	PeathHapcutMix	7
43	3	PeathHapcutMix	5
44	3	PeathHapcutMix	5
45	3	PeathHapcutMix	4
46	3	PeathHapcutMix	2
47	3	PeathHapcutMix	2
48	3	PeathHapcutMix	2
49	3	PeathHapcutMix	5
50	3	PeathHapcutMix	2
51	3	PeathHapcutMix	5
52	3	PeathHapcutMix	4
53	3	PeathHapcutMix	2
54	3	PeathHapcutMix	3
55	3	PeathHapcutMix	5
56	3	PeathHapcutMix	8
57	3	PeathHapcutMix	2
58	3	PeathHapcutMix	2
59	3	PeathHapcutMix	3
60	3	PeathHapcutMix	2
61	3	PeathHapcutMix	3
62	3	PeathHapcutMix	2
63	3	PeathHapcutMix	3
64	3	PeathHapcutMix	3
65	0	-	9
66	3	PeathHapcutMix	11
67	0	-	35
68	3	PeathHapcutMix	2
69	3	PeathHapcutMix	3
70	3	PeathHapcutMix	3
71	0	-	2
72	3	PeathHapcutMix	2
73	3	PeathHapcutMix	2
74	3	PeathHapcutMix	5
75	3	PeathHapcutMix	2
76	3	PeathHapcutMix	2
77	3	PeathHapcutMix	2
78	3	PeathHapcutMix	2
79	3	PeathHapcutMix	3
80	3	PeathHapcutMix	3
81	3	PeathHapcutMix	5
82	3	PeathHapcutMix	2
83	3	PeathHapcutMix	2
84	3	PeathHapcutMix	5
85	3	PeathHapcutMix	4
86	3	PeathHapcutMix	2
87	3	PeathHapcutMix	2
88	3	PeathHapcutMix	11
89	2	HapcutMix	9
90	3	PeathHapcutMix	3
91	3	PeathHapcutMix	2
92	3	PeathHapcutMix	2
93	3	PeathHapcutMix	3
94	3	PeathHapcutMix	9
95	3	PeathHapcutMix	2
96	3	PeathHapcutMix	4
97	3	PeathHapcutMix	2
98	3	PeathHapcutMix	2
99	3	PeathHapcutMix	4
100	3	PeathHapcutMix	2
101	3	PeathHapcutMix	8
102	3	PeathHapcutMix	3
103	3	PeathHapcutMix	5
104	3	PeathHapcutMix	3
105	2	PeathHapcut	22
106	2	PeathHapcut	9
107	3	PeathHapcutMix	6
108	3	PeathHapcutMix	2
109	3	PeathHapcutMix	2
110	3	PeathHapcutMix	2
111	3	PeathHapcutMix	2
112	3	PeathHapcutMix	4
113	3	PeathHapcutMix	14
114	0	-	2
115	3	PeathHapcutMix	4
116	3	PeathHapcutMix	3
117	3	PeathHapcutMix	2
118	3	PeathHapcutMix	3
119	3	PeathHapcutMix	2
120	3	PeathHapcutMix	2
121	3	PeathHapcutMix	2
122	3	PeathHapcutMix	7
123	3	PeathHapcutMix	3
124	3	PeathHapcutMix	2
125	3	PeathHapcutMix	15
126	2	HapcutMix	3
127	3	PeathHapcutMix	3
128	3	PeathHapcutMix	2
129	3	PeathHapcutMix	6
130	3	PeathHapcutMix	4
131	3	PeathHapcutMix	12
132	3	PeathHapcutMix	2
133	3	PeathHapcutMix	5
134	3	PeathHapcutMix	2
135	3	PeathHapcutMix	3
136	3	PeathHapcutMix	2
137	3	PeathHapcutMix	2
138	3	PeathHapcutMix	3
139	3	PeathHapcutMix	2
140	3	PeathHapcutMix	4
141	3	PeathHapcutMix	12
142	3	PeathHapcutMix	2
143	0	-	5
144	3	PeathHapcutMix	4
145	3	PeathHapcutMix	2
146	3	PeathHapcutMix	3
147	3	PeathHapcutMix	2
148	3	PeathHapcutMix	2
149	3	PeathHapcutMix	9
150	3	PeathHapcutMix	3
151	3	PeathHapcutMix	5
152	3	PeathHapcutMix	5
153	3	PeathHapcutMix	4
154	3	PeathHapcutMix	4
155	3	PeathHapcutMix	3
156	3	PeathHapcutMix	3
157	3	PeathHapcutMix	11
158	3	PeathHapcutMix	2
159	3	PeathHapcutMix	5
160	3	PeathHapcutMix	7
161	3	PeathHapcutMix	2
162	3	PeathHapcutMix	6
163	3	PeathHapcutMix	2
164	3	PeathHapcutMix	2
165	3	PeathHapcutMix	3
166	3	PeathHapcutMix	2
167	0	-	3
168	3	PeathHapcutMix	4
169	3	PeathHapcutMix	3
170	3	PeathHapcutMix	2
171	3	PeathHapcutMix	4
172	3	PeathHapcutMix	9
173	3	PeathHapcutMix	2
174	3	PeathHapcutMix	3
175	3	PeathHapcutMix	3
176	3	PeathHapcutMix	3
177	3	PeathHapcutMix	4
178	3	PeathHapcutMix	3
179	3	PeathHapcutMix	2
180	3	PeathHapcutMix	2
181	3	PeathHapcutMix	2
182	3	PeathHapcutMix	2
183	3	PeathHapcutMix	5
184	3	PeathHapcutMix	2
185	3	PeathHapcutMix	3
186	3	PeathHapcutMix	2
187	3	PeathHapcutMix	9
188	3	PeathHapcutMix	3
189	3	PeathHapcutMix	3
190	3	PeathHapcutMix	2
191	3	PeathHapcutMix	2
192	3	PeathHapcutMix	4
193	3	PeathHapcutMix	4
194	3	PeathHapcutMix	3
195	3	PeathHapcutMix	12
196	3	PeathHapcutMix	2
197	3	PeathHapcutMix	11
198	3	PeathHapcutMix	2
199	3	PeathHapcutMix	3
200	3	PeathHapcutMix	4
201	3	PeathHapcutMix	3
202	3	PeathHapcutMix	2
203	3	PeathHapcutMix	4
204	3	PeathHapcutMix	2
205	3	PeathHapcutMix	2
206	3	PeathHapcutMix	6
