Block	Agreement	SNP count
1	match	3
2	match	2
3	match	2
4	match	2
5	match	2
6	match	3
7	match	2
8	match	2
9	match	2
10	match	2
11	match	2
12	match	2
13	match	2
14	match	2
15	match	2
16	match	2
17	match	2
18	match	2
19	match	2
20	match	2
21	match	2
22	match	2
23	match	2
24	match	2
25	match	5
26	match	3
27	match	3
28	match	2
29	match	3
30	match	3
31	match	2
32	match	2
33	match	5
34	match	5
35	match	2
36	match	2
37	match	2
38	match	7
39	match	2
40	match	2
41	match	3
42	match	7
43	match	5
44	match	5
45	match	4
46	match	2
47	match	2
48	match	2
49	match	5
50	match	2
51	match	5
52	match	4
53	match	2
54	match	3
55	match	5
56	match	8
57	match	2
58	match	2
59	match	3
60	match	2
61	match	3
62	match	2
63	match	3
64	match	3
65	-	9
66	match	11
67	match	21
68	match	2
69	-	12
70	match	2
71	match	3
72	match	3
73	-	2
74	match	2
75	match	2
76	match	5
77	match	2
78	match	2
79	match	2
80	match	2
81	match	3
82	match	3
83	match	5
84	match	2
85	match	2
86	match	5
87	match	4
88	match	2
89	match	2
90	match	11
91	-	9
92	match	3
93	match	2
94	match	2
95	match	3
96	match	9
97	match	2
98	match	4
99	match	2
100	match	2
101	match	4
102	match	2
103	match	8
104	match	3
105	match	5
106	match	3
107	match	22
108	match	9
109	match	6
110	match	2
111	match	2
112	match	2
113	match	2
114	match	4
115	match	14
116	-	2
117	match	4
118	match	3
119	match	2
120	match	3
121	match	2
122	match	2
123	match	2
124	match	7
125	match	3
126	match	2
127	match	15
128	-	3
129	match	3
130	match	2
131	match	6
132	match	4
133	match	12
134	match	2
135	match	5
136	match	2
137	match	3
138	match	2
139	match	2
140	match	3
141	match	2
142	match	4
143	match	12
144	match	2
145	-	5
146	match	4
147	match	2
148	match	3
149	match	2
150	match	2
151	match	9
152	match	3
153	match	5
154	match	5
155	match	4
156	match	4
157	match	3
158	match	3
159	match	11
160	match	2
161	match	5
162	match	7
163	match	2
164	match	6
165	match	2
166	match	2
167	match	3
168	match	2
169	-	3
170	match	4
171	match	3
172	match	2
173	match	4
174	match	9
175	match	2
176	match	3
177	match	3
178	match	3
179	match	4
180	match	3
181	match	2
182	match	2
183	match	2
184	match	2
185	match	5
186	match	2
187	match	3
188	match	2
189	match	9
190	match	3
191	match	3
192	match	2
193	match	2
194	match	4
195	match	4
196	match	3
197	match	12
198	match	2
199	match	11
200	match	2
201	match	3
202	match	4
203	match	3
204	match	2
205	match	4
206	match	2
207	match	2
208	match	6
209	match	5
210	match	2
211	match	3
212	match	2
213	match	2
214	match	5
215	match	7
216	match	4
217	match	3
218	match	7
219	match	2
220	match	6
221	match	2
222	match	2
223	match	2
224	match	3
225	match	2
226	match	2
227	match	14
228	match	11
229	match	3
230	match	2
231	match	2
232	match	3
233	match	9
234	match	3
235	match	2
236	match	3
237	match	2
238	match	8
239	match	3
240	match	2
241	match	2
242	match	2
243	match	3
244	match	6
245	match	8
246	match	2
247	match	4
248	match	2
249	match	2
250	match	3
251	match	3
252	match	3
253	match	3
254	match	3
255	match	2
256	match	2
257	match	2
258	match	4
259	match	2
260	match	2
261	match	3
262	match	2
263	match	3
264	match	2
265	-	3
266	match	3
267	match	4
268	match	2
269	match	2
270	match	2
271	match	2
272	match	2
273	match	2
274	match	3
275	match	2
276	match	2
277	match	3
278	match	3
279	match	2
280	match	3
281	match	3
282	match	2
283	match	3
284	match	2
285	match	2
286	match	6
287	match	3
288	match	2
289	match	3
290	match	2
291	match	2
292	match	2
293	match	2
294	match	2
295	match	2
296	match	2
297	match	8
298	match	2
299	match	6
300	match	2
301	match	3
302	match	2
303	match	2
304	match	2
305	match	3
306	match	2
307	-	17
308	match	2
309	match	2
310	match	2
311	match	2
312	match	3
313	match	2
314	match	4
315	match	4
316	match	7
317	match	3
318	match	2
319	match	4
320	match	2
321	match	3
322	match	2
323	match	3
324	match	2
325	match	2
326	match	2
327	match	9
328	match	34
329	match	2
330	match	2
331	match	2
332	match	2
333	match	4
334	match	2
335	match	2
336	match	2
337	match	2
338	match	2
339	match	2
340	match	3
341	match	8
342	match	8
343	match	2
344	match	2
345	match	2
346	match	8
347	match	4
348	match	2
349	match	2
350	match	3
351	match	2
352	match	2
353	match	3
354	match	2
355	match	5
356	match	2
357	match	7
358	match	5
359	match	3
360	match	2
361	match	2
362	match	2
363	match	2
364	-	2
365	match	2
366	match	3
367	match	8
368	match	2
369	match	2
370	match	6
371	match	3
372	match	2
373	match	2
374	match	5
375	match	2
376	match	9
377	match	2
378	match	2
379	match	2
380	match	4
381	match	8
382	match	3
383	match	2
384	-	2
385	match	2
386	match	2
387	match	2
388	match	5
389	match	9
390	match	2
391	match	2
392	match	2
393	match	2
394	match	2
395	match	2
396	match	5
397	match	10
398	match	2
399	match	2
400	match	4
401	match	3
402	match	2
403	match	4
404	match	13
405	match	2
406	match	5
407	match	2
408	match	3
409	match	2
410	match	2
411	match	8
412	match	2
413	match	2
414	match	2
415	match	5
416	match	2
417	match	14
418	match	2
419	match	2
420	match	8
421	match	2
422	match	2
423	match	3
424	match	2
425	match	2
426	match	3
427	match	2
428	match	2
429	match	2
430	match	3
431	match	6
432	match	2
433	match	2
434	match	4
435	match	2
436	match	2
437	match	2
438	match	2
439	match	2
440	match	4
441	match	3
442	match	4
443	match	3
444	match	2
445	match	2
446	match	5
447	match	3
448	match	4
449	match	5
450	match	2
451	match	10
452	match	2
453	match	3
454	match	3
455	match	2
456	match	2
457	match	2
458	match	2
459	match	3
460	match	2
461	match	2
462	match	2
463	match	2
464	match	2
465	match	2
466	match	2
467	match	5
468	match	3
469	match	3
470	match	3
471	match	2
472	match	2
473	match	2
474	match	14
475	match	6
476	match	2
477	match	2
478	match	2
479	match	3
480	match	2
481	match	2
482	match	5
483	match	2
484	match	3
485	match	2
486	match	2
487	match	2
488	match	2
489	-	2
490	match	3
491	match	2
492	match	2
493	match	6
494	match	2
495	match	3
496	match	2
497	match	6
498	match	2
499	match	3
500	match	2
501	match	2
502	match	8
503	match	3
504	match	4
505	match	2
506	match	3
507	match	2
508	match	2
509	match	2
510	match	4
511	match	4
512	match	5
513	match	2
514	match	5
515	match	2
516	match	5
517	match	2
518	match	2
519	match	3
520	match	3
521	match	3
522	match	2
523	match	2
524	match	2
525	match	3
526	match	3
527	match	2
528	match	2
529	match	2
530	match	8
531	match	2
532	match	2
533	match	10
534	match	2
535	match	3
536	match	2
537	match	2
538	match	2
539	match	2
540	match	2
541	match	7
542	match	6
543	match	3
544	-	7
545	match	4
546	match	6
547	match	2
548	match	2
549	match	2
550	match	4
551	match	2
552	match	2
553	match	2
554	match	3
555	match	2
556	match	2
557	match	3
558	match	2
559	match	3
560	match	3
561	match	2
562	match	2
563	match	2
564	match	2
565	match	2
566	match	2
567	match	3
568	match	2
569	match	2
570	match	2
571	match	2
572	match	2
573	match	2
574	match	2
575	match	3
576	match	5
577	match	2
578	match	2
579	match	2
580	match	2
581	match	3
582	match	2
583	match	2
584	match	11
585	match	2
586	match	4
587	match	3
588	match	3
589	match	2
590	match	2
591	match	2
592	match	4
593	match	5
594	match	4
595	match	2
596	match	2
597	match	2
598	match	2
599	match	2
600	match	4
601	match	11
602	match	3
603	match	2
604	match	2
605	match	2
606	match	4
607	match	3
608	match	2
609	match	2
610	match	2
611	match	2
612	match	2
613	match	3
614	match	2
615	match	2
616	match	3
617	match	4
618	match	3
619	match	2
620	match	2
621	match	3
622	match	4
623	match	3
624	match	2
625	match	3
626	match	2
627	match	17
628	match	3
629	match	6
630	match	3
631	match	2
632	match	2
633	match	3
634	match	2
635	match	3
636	match	2
637	match	2
638	match	2
639	match	2
640	match	2
641	match	4
642	match	5
643	match	2
644	match	2
645	match	2
646	match	3
647	match	2
648	match	2
649	match	2
650	match	6
651	match	7
652	match	2
653	match	3
654	match	2
655	match	2
656	match	2
657	match	3
658	match	6
659	match	5
660	match	2
661	match	2
662	match	3
663	match	2
664	match	2
665	match	4
666	match	4
667	match	2
668	match	2
669	match	2
670	match	5
671	match	2
672	match	3
673	match	2
674	-	4
675	match	7
676	match	3
677	match	6
678	match	5
679	match	4
680	match	2
681	match	2
682	match	2
683	match	3
684	match	2
685	match	2
686	match	4
687	match	5
688	match	8
689	match	2
690	match	2
691	match	3
692	match	2
693	match	2
694	match	8
695	match	2
696	match	2
697	match	4
698	match	2
699	match	2
700	match	2
701	match	4
702	match	2
703	match	2
704	match	3
705	match	2
706	match	2
707	match	2
708	match	2
709	match	2
710	match	2
711	match	2
712	match	3
713	match	2
714	match	6
715	match	10
716	match	10
717	match	4
718	match	3
719	match	4
720	match	3
721	match	4
722	match	4
723	match	5
724	match	2
725	match	3
726	match	3
727	match	6
728	-	29
729	match	2
730	match	2
731	match	2
732	match	3
733	match	3
734	match	5
735	match	3
736	match	2
737	match	3
738	match	3
739	match	4
740	match	3
741	match	2
742	match	2
743	match	2
744	match	2
745	match	3
746	match	2
747	match	2
748	match	2
749	match	4
750	match	2
751	match	2
752	match	2
753	match	3
754	match	2
755	match	2
756	match	2
757	match	3
758	match	2
759	match	2
760	match	4
761	-	31
762	match	2
763	match	4
764	match	5
765	match	3
766	match	3
767	match	38
768	match	10
769	match	13
770	match	2
771	match	2
772	match	9
773	match	6
774	match	3
775	match	3
776	match	2
777	match	2
778	match	2
779	match	2
780	match	3
781	match	2
782	match	4
783	match	6
784	match	5
