Block	Agreement	SNP count
1	match	3
2	match	2
3	match	2
4	match	2
5	match	2
6	match	3
7	match	2
8	match	2
9	match	2
10	match	2
11	match	2
12	match	2
13	match	2
14	match	2
15	match	2
16	match	2
17	match	2
18	match	2
19	match	2
20	match	2
21	match	2
22	match	2
23	match	2
24	match	2
25	match	5
26	match	3
27	match	3
28	match	2
29	match	3
30	match	3
31	match	2
32	match	2
33	match	5
34	match	5
35	match	2
36	match	2
37	match	2
38	match	7
39	match	2
40	match	2
41	match	3
42	match	7
43	match	5
44	match	5
45	match	4
46	match	2
47	match	2
48	match	2
49	match	5
50	match	2
51	match	5
52	match	4
53	match	2
54	match	3
55	match	5
56	match	8
57	match	2
58	match	2
59	match	3
60	match	2
61	match	3
62	match	2
63	match	3
64	match	3
65	-	9
66	match	11
67	-	35
68	match	2
69	match	3
70	match	3
71	-	2
72	match	2
73	match	2
74	match	5
75	match	2
76	match	2
77	match	2
78	match	2
79	match	3
80	match	3
81	match	5
82	match	2
83	match	2
84	match	5
85	match	4
86	match	2
87	match	2
88	match	11
89	-	9
90	match	3
91	match	2
92	match	2
93	match	3
94	match	9
95	match	2
96	match	4
97	match	2
98	match	2
99	match	4
100	match	2
101	match	8
102	match	3
103	match	5
104	match	3
105	-	22
106	-	9
107	match	6
108	match	2
109	match	2
110	match	2
111	match	2
112	match	4
113	match	14
114	-	2
115	match	4
116	match	3
117	match	2
118	match	3
119	match	2
120	match	2
121	match	2
122	match	7
123	match	3
124	match	2
125	match	15
126	-	3
127	match	3
128	match	2
129	match	6
130	match	4
131	match	12
132	match	2
133	match	5
134	match	2
135	match	3
136	match	2
137	match	2
138	match	3
139	match	2
140	match	4
141	match	12
142	match	2
143	-	5
144	match	4
145	match	2
146	match	3
147	match	2
148	match	2
149	match	9
150	match	3
151	match	5
152	match	5
153	match	4
154	match	4
155	match	3
156	match	3
157	match	11
158	match	2
159	match	5
160	match	7
161	match	2
162	match	6
163	match	2
164	match	2
165	match	3
166	match	2
167	-	3
168	match	4
169	match	3
170	match	2
171	match	4
172	match	9
173	match	2
174	match	3
175	match	3
176	match	3
177	match	4
178	match	3
179	match	2
180	match	2
181	match	2
182	match	2
183	match	5
184	match	2
185	match	3
186	match	2
187	match	9
188	match	3
189	match	3
190	match	2
191	match	2
192	match	4
193	match	4
194	match	3
195	match	12
196	match	2
197	match	11
198	match	2
199	match	3
200	match	4
201	match	3
202	match	2
203	match	4
204	match	2
205	match	2
206	match	6
207	match	5
208	match	2
209	match	3
210	match	2
211	match	2
212	-	5
213	match	7
214	match	4
215	match	3
216	match	7
217	match	2
218	match	6
219	match	2
220	match	2
221	match	2
222	match	3
223	match	2
224	match	2
225	match	14
226	match	11
227	match	3
228	match	2
229	match	2
230	match	3
231	-	9
232	match	3
233	match	2
234	match	3
235	match	2
236	match	8
237	match	3
238	match	2
239	match	2
240	match	2
241	match	3
242	match	6
243	match	8
244	match	2
245	match	4
246	match	2
247	match	2
248	match	3
249	match	3
250	match	3
251	match	3
252	match	3
253	match	2
254	match	2
255	-	8
256	match	2
257	match	3
258	match	2
259	match	3
260	match	2
261	-	3
262	match	3
263	match	4
264	match	2
265	match	2
266	match	2
267	match	2
268	match	2
269	match	2
270	match	3
271	match	2
272	match	2
273	match	3
274	match	3
275	match	2
276	match	3
277	match	3
278	match	2
279	match	3
280	match	2
281	match	2
282	match	9
283	match	2
284	match	3
285	match	2
286	match	2
287	match	2
288	match	2
289	match	2
290	match	2
291	match	2
292	match	8
293	match	2
294	-	6
295	match	2
296	match	3
297	match	2
298	match	2
299	match	2
300	match	3
301	match	2
302	-	17
303	match	2
304	match	2
305	match	2
306	match	2
307	match	3
308	match	2
309	match	4
310	match	4
311	match	7
312	match	5
313	match	4
314	match	2
315	match	3
316	match	2
317	match	3
318	match	2
319	match	2
320	match	2
321	match	9
322	-	34
323	match	2
324	match	2
325	match	2
326	match	2
327	match	6
328	match	2
329	match	2
330	match	2
331	-	2
332	match	2
333	match	3
334	match	8
335	match	8
336	match	2
337	match	2
338	match	2
339	match	8
340	-	4
341	match	2
342	match	2
343	match	3
344	match	2
345	match	2
346	match	3
347	match	2
348	match	5
349	match	2
350	match	7
351	match	5
352	match	3
353	match	2
354	match	2
355	match	2
356	match	2
357	match	2
358	match	2
359	match	3
360	match	8
361	match	2
362	match	2
363	match	6
364	match	3
365	match	2
366	match	2
367	match	5
368	match	2
369	match	13
370	match	2
371	match	4
372	match	8
373	match	3
374	match	2
375	match	2
376	match	2
377	match	2
378	match	2
379	match	5
380	match	9
381	match	2
382	match	2
383	match	2
384	match	2
385	match	2
386	match	2
387	match	5
388	match	10
389	match	2
390	match	2
391	match	4
392	match	3
393	match	2
394	match	4
395	-	15
396	match	5
397	match	2
398	match	3
399	match	2
400	match	2
401	match	8
402	match	2
403	match	2
404	match	2
405	match	5
406	match	2
407	-	14
408	match	2
409	match	2
410	-	8
411	match	2
412	match	2
413	match	3
414	match	2
415	match	2
416	match	3
417	match	2
418	match	2
419	match	2
420	match	3
421	-	8
422	match	2
423	match	4
424	match	2
425	match	2
426	match	2
427	match	2
428	match	2
429	match	4
430	match	3
431	match	4
432	match	3
433	match	2
434	match	2
435	match	5
436	match	3
437	match	4
438	match	5
439	match	2
440	match	12
441	match	3
442	match	3
443	match	2
444	match	2
445	match	2
446	match	2
447	match	3
448	match	2
449	match	2
450	match	2
451	match	2
452	match	2
453	match	2
454	-	7
455	match	3
456	match	3
457	match	3
458	match	2
459	match	2
460	match	2
461	match	14
462	match	6
463	match	2
464	match	2
465	match	2
466	match	3
467	match	2
468	match	2
469	match	5
470	match	2
471	match	3
472	match	2
473	match	2
474	match	2
475	match	2
476	match	2
477	match	3
478	match	2
479	match	2
480	match	6
481	match	2
482	match	3
483	match	2
484	match	6
485	match	2
486	match	3
487	match	2
488	match	2
489	match	8
490	-	7
491	match	2
492	match	3
493	match	2
494	match	2
495	match	2
496	match	8
497	match	5
498	match	2
499	match	5
500	match	2
501	match	5
502	match	2
503	match	2
504	match	3
505	match	3
506	match	5
507	match	2
508	match	2
509	match	3
510	match	3
511	match	2
512	match	2
513	match	2
514	-	8
515	match	2
516	match	2
517	match	10
518	match	2
519	match	3
520	match	2
521	match	2
522	match	2
523	match	2
524	match	2
525	match	7
526	match	6
527	match	3
528	-	7
529	match	4
530	match	6
531	match	2
532	match	2
533	match	2
534	-	8
535	match	2
536	match	3
537	match	2
538	match	2
539	match	3
540	match	2
541	match	3
542	match	3
543	match	2
544	match	2
545	match	2
546	match	2
547	match	2
548	match	2
549	match	3
550	match	2
551	match	2
552	match	2
553	match	2
554	match	2
555	match	2
556	match	2
557	match	3
558	match	5
559	match	2
560	match	2
561	match	2
562	match	2
563	match	3
564	match	2
565	-	15
566	match	4
567	match	3
568	match	3
569	match	2
570	match	2
571	match	2
572	match	9
573	match	4
574	match	2
575	match	2
576	match	2
577	match	2
578	match	2
579	match	15
580	match	3
581	match	2
582	match	2
583	match	2
584	match	4
585	match	3
586	match	2
587	match	2
588	match	2
589	match	2
590	match	2
591	match	3
592	match	2
593	match	2
594	match	3
595	match	7
596	match	2
597	match	2
598	match	3
599	match	4
600	match	3
601	match	2
602	match	3
603	match	2
604	match	17
605	match	3
606	match	6
607	match	3
608	match	2
609	-	10
610	match	2
611	match	2
612	match	2
613	match	2
614	match	2
615	match	4
616	match	5
617	match	2
618	match	2
619	match	2
620	match	3
621	match	2
622	match	2
623	match	2
624	match	6
625	match	7
626	match	2
627	match	3
628	match	2
629	match	2
630	match	2
631	-	14
632	match	2
633	match	2
634	match	3
635	match	2
636	match	2
637	match	4
638	match	4
639	match	2
640	match	2
641	match	2
642	match	5
643	match	2
644	match	3
645	match	2
646	-	4
647	match	10
648	match	6
649	match	5
650	match	4
651	match	2
652	match	2
653	match	2
654	match	3
655	match	2
656	match	2
657	match	4
658	match	5
659	match	8
660	match	2
661	match	2
662	match	3
663	match	2
664	match	2
665	match	8
666	match	2
667	match	2
668	match	4
669	match	2
670	match	2
671	match	2
672	match	4
673	match	2
674	match	2
675	match	3
676	match	2
677	match	2
678	match	2
679	match	2
680	match	2
681	match	2
682	match	2
683	match	3
684	match	2
685	match	6
686	match	10
687	match	10
688	match	4
689	match	3
690	match	4
691	match	3
692	match	4
693	match	4
694	match	5
695	match	2
696	match	3
697	match	3
698	match	6
699	-	29
700	match	2
701	match	2
702	match	2
703	match	3
704	match	3
705	match	5
706	match	3
707	match	2
708	match	3
709	match	3
710	match	4
711	match	3
712	match	2
713	match	2
714	-	4
715	match	3
716	match	2
717	match	2
718	match	2
719	match	4
720	match	2
721	match	2
722	match	2
723	match	3
724	match	2
725	match	2
726	match	2
727	match	3
728	match	2
729	match	2
730	match	4
731	-	31
732	match	2
733	match	4
734	match	5
735	match	3
736	match	3
737	-	38
738	match	10
739	match	13
740	match	2
741	match	2
742	match	9
743	match	6
744	match	3
745	match	3
746	match	2
747	match	2
748	match	2
749	match	2
750	match	3
751	match	2
752	match	4
753	match	6
754	match	5
755	match	2
756	match	2
757	match	2
758	match	2
759	-	14
760	match	3
761	match	3
762	match	2
763	match	3
764	match	2
765	match	3
766	match	5
767	match	2
768	match	2
769	match	3
770	match	3
771	match	7
772	match	4
773	match	10
774	match	2
775	match	6
776	match	2
777	match	2
778	match	2
779	match	3
780	match	5
781	match	3
782	match	3
783	match	4
784	match	2
