Block	Agreement	SNP count
769	match	2
7243	match	2
7242	match	1
7244	match	2
7242	match	2
769	match	5
7245	-	2
769	match	11
7247	match	4
769	match	2
7247	match	2
769	match	1
7247	match	8
769	match	3
7247	match	2
7248	match	1
7247	match	4
769	match	2
7250	match	2
7253	match	3
769	match	6
7256	match	3
769	match	2
7256	-	14
769	match	4
7257	match	2
7259	match	2
7260	match	1
7262	match	4
7264	match	3
7265	match	1
7266	match	2
769	match	1
7271	match	1
7273	-	56
769	match	1
7273	match	26
7275	match	6
7278	match	8
7279	match	2
7280	match	2
7283	match	1
7285	match	2
7286	match	8
7293	match	2
7295	-	16
7296	match	3
7297	match	3
7298	-	8
769	match	1
7298	match	1
769	match	1
7298	match	3
7300	match	1
769	match	3
7302	match	1
7303	match	2
7302	match	2
7305	match	1
7306	match	2
769	match	1
7309	-	3
7310	match	2
769	match	2
7309	match	3
769	match	3
7309	-	18
103	match	5
7311	match	2
103	match	1
7313	match	4
7314	match	2
7313	-	28
769	match	4
7313	-	20
7316	-	11
7317	match	2
103	match	3
7317	match	3
103	match	2
7318	match	7
7319	match	2
769	match	2
7320	match	1
769	match	1
7322	-	8
7323	match	1
7324	match	4
7326	-	8
7328	match	10
769	match	4
7330	match	1
7333	match	2
7335	match	5
7337	match	15
103	match	2
7340	match	1
7341	match	2
7340	match	2
772	match	7
7342	match	2
7345	-	23
772	match	2
7345	-	21
772	match	2
7345	match	6
772	match	1
7345	-	7
772	match	1
7345	match	5
7346	match	12
7347	-	3
7349	match	9
7351	match	8
7353	match	5
7355	match	9
7358	match	1
7360	match	1
772	match	2
7360	-	41
776	match	1
7363	match	4
7364	match	2
7363	-	22
776	match	2
7363	match	7
776	match	2
7363	-	44
7365	match	3
7366	match	4
7369	match	18
7373	match	5
7374	match	3
7373	-	27
7376	-	9
778	match	3
7376	match	9
7378	match	3
7376	match	2
778	match	2
103	match	1
778	match	6
7380	match	3
7381	match	2
7380	match	5
7383	match	2
7386	match	1
7387	match	3
778	match	2
7387	match	2
778	match	1
103	match	1
778	match	1
7389	match	7
103	match	1
7389	-	9
778	-	10
7391	match	2
778	match	2
7392	match	2
7393	match	4
778	-	5
7395	match	3
778	match	5
7396	match	4
778	match	4
7398	-	25
7399	match	3
7398	match	2
7399	-	11
7400	match	4
7399	match	5
7401	match	9
7403	match	4
7401	match	1
778	match	2
7407	match	1
7408	-	5
778	match	3
7408	match	7
778	match	2
7408	match	24
7411	-	9
7413	match	17
7414	match	3
7416	match	7
7417	match	2
7416	-	19
7421	match	2
103	match	1
7423	match	6
7427	match	8
7429	match	1
779	match	1
7432	match	2
779	match	1
7435	match	2
7437	match	4
779	match	1
7438	match	1
7439	match	19
779	match	1
7439	match	2
7442	match	6
7443	match	2
779	match	1
7445	match	2
779	match	1
7450	match	4
779	match	2
7452	match	3
7459	match	2
7460	match	1
103	match	3
782	match	2
7462	-	29
7464	match	2
7463	-	19
784	match	2
7463	match	15
7467	match	2
7471	-	21
7473	match	1
7474	-	12
785	match	1
7477	match	2
7478	match	2
7480	match	2
7482	match	1
103	match	1
7484	-	6
7486	match	14
7491	match	4
7492	match	4
7493	-	12
7495	match	1
7503	match	6
7504	match	1
788	match	2
7504	-	30
7507	match	2
7509	-	5
789	match	2
790	match	2
791	match	2
7511	-	108
794	match	5
7511	-	21
7514	match	2
7512	-	2
7515	match	1
795	match	5
7512	-	5
7518	match	1
7517	match	2
7518	-	32
7524	match	5
7526	match	12
7529	match	1
7530	match	2
7532	match	1
7534	match	3
7533	match	18
7535	match	5
7536	match	1
7537	-	32
7538	match	4
7539	match	3
7543	match	4
7544	match	2
7545	match	2
7549	match	6
104	match	2
7551	match	48
7554	match	2
7557	match	2
7556	-	21
7560	match	4
796	match	3
7563	match	12
104	match	2
797	match	1
104	match	1
797	match	1
7564	-	4
104	match	1
7564	match	1
104	match	1
7564	-	23
7567	-	9
7569	match	3
7568	-	9
7571	match	3
7572	match	6
7573	match	2
7575	match	3
7581	match	3
7582	-	15
7585	match	18
104	match	1
7589	match	4
7591	match	6
7594	match	3
7595	match	2
7596	match	1
7597	match	1
7598	-	3
800	match	2
7598	match	13
7600	match	6
800	match	6
7600	-	5
7602	match	7
7600	match	2
800	match	2
7604	-	3
7605	match	1
7604	match	2
800	match	6
7610	-	10
801	match	2
800	-	3
7611	-	5
7614	match	14
7616	match	2
7619	match	2
7620	match	2
7621	match	5
7623	match	7
7624	match	7
7627	match	3
7628	match	11
7629	match	6
7630	match	1
7631	match	11
7632	match	7
104	match	1
7635	match	6
7637	match	2
7638	match	2
7640	match	21
7642	-	16
7644	match	3
7645	-	8
104	match	1
7646	match	2
7645	-	18
802	match	1
7645	-	2
7647	match	1
7645	-	15
7648	match	2
7649	-	54
104	match	1
7650	match	2
7653	-	9
7655	-	6
7657	-	9
804	match	8
7657	-	33
7659	-	35
7661	match	6
7659	-	85
7664	match	7
104	match	2
