Block	CountA	CountB	CountC	SNVs	Haplotype
1	3	3	3	match	-
2	7	7	7	match	-
3	4	4	4	match	-
4	23	23	23	match	-
5	2	2	2	match	-
6	2	2	2	match	-
7	2	2	2	match	-
8	3	3	3	match	-
9	2	2	2	match	-
10	18	18	18	match	-
11	2	2	2	match	-
12	2	2	2	match	-
13	2	2	2	match	-
14	21	21	21	match	-
15	2	2	2	match	-
16	2	2	2	match	-
17	24	24	24	match	-
18	3	3	3	match	-
19	24	24	24	match	-
20	18	18	18	match	-
21	2	2	2	match	-
22	14	14	14	match	-
23	3	3	3	match	-
24	2	2	2	match	-
25	57	57	57	match	-
26	3	3	3	match	-
27	2	2	2	match	-
28	5	5	5	match	-
29	33	33	33	match	-
30	2	2	2	match	-
31	2	2	2	match	-
32	14	14	14	match	-
33	20	20	20	match	-
34	50	50	50	match	-
35	2	2	2	match	-
36	2	2	2	match	-
37	3	3	3	match	-
38	55	55	55	match	-
39	3	3	3	match	-
40	70	70	70	match	-
41	39	39	39	match	-
42	4	4	4	match	-
43	9	9	9	match	-
44	13	13	13	match	-
45	4	4	4	match	-
46	44	44	44	match	-
47	6	6	6	match	-
48	2	2	2	match	-
49	2	2	2	match	-
50	2	2	2	match	-
51	3	3	3	match	-
52	27	27	27	match	-
53	10	10	10	match	-
54	2	2	2	match	-
55	2	2	2	match	-
56	4	4	4	match	-
57	3	3	3	match	-
58	3	3	3	match	-
59	2	2	2	match	-
60	2	2	2	match	-
61	2	2	2	match	-
62	11	11	11	match	-
63	3	3	3	match	-
64	2	2	2	match	-
65	22	22	22	match	-
66	17	17	17	match	-
67	2	2	2	match	-
68	6	6	6	match	-
69	4	4	4	match	-
70	5	5	5	match	-
71	2	2	2	match	-
72	147	147	147	match	-
73	4	4	4	match	-
74	2	2	2	match	-
75	5	5	5	match	-
76	3	3	3	match	-
77	3	3	3	match	-
78	5	5	5	match	-
79	6	6	6	match	-
80	2	2	2	match	-
81	7	7	7	match	-
82	3	3	3	match	-
83	7	7	7	match	-
84	9	9	9	match	-
85	2	2	2	match	-
86	2	2	2	match	-
87	3	3	3	match	-
88	3	3	3	match	-
89	7	7	7	match	-
90	3	3	3	match	-
91	3	3	3	match	-
92	31	31	31	match	-
93	2	2	2	match	-
94	2	2	2	match	-
95	9	9	9	match	-
96	3	3	3	match	-
97	4	4	4	match	-
98	4	4	4	match	-
99	34	34	34	match	-
100	2	2	2	match	-
101	12	12	12	match	-
102	4	4	4	match	-
103	67	67	67	match	-
104	230	230	230	match	-
105	7	7	7	match	-
106	3	3	3	match	-
107	3	3	3	match	-
108	3	3	3	match	-
109	35	35	35	match	-
110	2	2	2	match	-
111	76	76	76	match	-
112	4	4	4	match	-
113	4	4	4	match	-
114	46	46	46	match	-
115	21	21	21	match	-
116	92	92	92	match	-
117	3	3	3	match	-
118	3	3	3	match	-
119	2	2	2	match	-
120	2	2	2	match	-
121	2	2	2	match	-
122	2	2	2	match	-
123	2	2	2	match	-
124	4	4	4	match	-
125	2	2	2	match	-
126	3	3	3	match	-
127	2	2	2	match	-
128	2	2	2	match	-
129	4	4	4	match	-
130	58	58	58	match	-
131	2	2	2	match	-
132	123	123	123	match	-
133	3	3	3	match	-
134	25	25	25	match	-
135	4	4	4	match	-
136	43	43	43	match	-
137	3	3	3	match	-
138	2	2	2	match	-
139	8	8	8	match	-
140	5	5	5	match	-
141	5	5	5	match	-
142	2	2	2	match	-
143	2	2	2	match	-
144	15	15	15	match	-
145	2	2	2	match	-
146	3	3	3	match	-
147	2	2	2	match	-
148	2	2	2	match	-
149	2	2	2	match	-
150	7	7	7	match	-
151	93	93	93	match	-
152	2	2	2	match	-
153	155	155	155	match	-
154	2	2	2	match	-
155	4	4	4	match	-
156	2	2	2	match	-
157	2	2	2	match	-
158	35	35	35	match	-
159	2	2	2	match	-
160	2	2	2	match	-
161	210	210	210	match	-
162	11	11	11	match	-
163	2	2	2	match	-
164	3	3	3	match	-
165	2	2	2	match	-
166	19	19	19	match	-
167	6	6	6	match	-
168	2	2	2	match	-
169	21	21	21	match	-
170	3	3	3	match	-
171	2	2	2	match	-
172	2	2	2	match	-
173	5	5	5	match	-
174	16	16	16	match	-
175	2	2	2	match	-
176	13	13	13	match	-
177	3	3	3	match	-
178	2	2	2	match	-
179	2	2	2	match	-
180	2	2	2	match	-
181	8	8	8	match	-
182	2	2	2	match	-
183	6	6	6	match	-
184	3	3	3	match	-
185	746	746	746	match	-
186	2	2	2	match	-
187	3	3	3	match	-
188	19	19	19	match	-
189	165	165	165	match	-
190	22	22	22	match	-
191	4	4	4	match	-
192	3	3	3	match	-
193	4	4	4	match	-
194	5	5	5	match	-
195	8	8	8	match	-
196	131	131	131	match	-
197	8	8	8	match	-
198	5	5	5	match	-
199	37	37	37	match	-
200	4	4	4	match	-
201	4	4	4	match	-
202	5	5	5	match	-
203	2	2	2	match	-
204	3	3	3	match	-
205	3	3	3	match	-
206	36	36	36	match	-
207	6	6	6	match	-
208	2	2	2	match	-
209	3	3	3	match	-
210	4	4	4	match	-
211	179	179	179	match	-
212	5	5	5	match	-
213	116	116	116	match	-
214	7	7	7	match	-
215	50	50	50	match	-
216	4	4	4	match	-
217	15	15	15	match	-
218	2	2	2	match	-
219	2	2	2	match	-
220	2	2	2	match	-
221	2	2	2	match	-
222	2	2	2	match	-
223	2	2	2	match	-
224	20	20	20	match	-
225	37	37	37	match	-
226	3	3	3	match	-
227	4	4	4	match	-
228	34	34	34	match	-
229	7	7	7	match	-
230	26	26	26	match	-
231	48	48	48	match	-
232	3	3	3	match	-
233	3	3	3	match	-
234	2	2	2	match	-
235	21	21	21	match	-
236	12	12	12	match	-
237	2	2	2	match	-
238	3	3	3	match	-
239	42	42	42	match	-
240	117	117	117	match	-
241	2	2	2	match	-
242	3	3	3	match	-
243	4	4	4	match	-
244	2	2	2	match	-
245	2	2	2	match	-
246	10	10	10	match	-
247	4	4	4	match	-
248	2	2	2	match	-
249	3	3	3	match	-
250	5	5	5	match	-
251	2	2	2	match	-
252	3	3	3	match	-
253	11	11	11	match	-
254	29	29	29	match	-
255	6	6	6	match	-
256	102	102	102	match	-
257	3	3	3	match	-
258	6	6	6	match	-
259	9	9	9	match	-
260	10	10	10	match	-
261	140	140	140	match	-
262	3	3	3	match	-
263	7	7	7	match	-
264	4	4	4	match	-
265	4	4	4	match	-
266	7	7	7	match	-
267	2	2	2	match	-
268	15	15	15	match	-
269	2	2	2	match	-
270	2	2	2	match	-
271	2	2	2	match	-
272	24	24	24	match	-
273	5	5	5	match	-
274	4	4	4	match	-
275	2	2	2	match	-
276	39	39	39	match	-
277	2	2	2	match	-
278	2	2	2	match	-
279	2	2	2	match	-
280	2	2	2	match	-
281	12	12	12	match	-
282	2	2	2	match	-
283	3	3	3	match	-
284	2	2	2	match	-
285	4	4	4	match	-
286	3	3	3	match	-
287	3	3	3	match	-
288	4	4	4	match	-
289	28	28	28	match	-
290	2	2	2	match	-
291	38	38	38	match	-
292	3	3	3	match	-
293	8	8	8	match	-
294	2	2	2	match	-
295	2	2	2	match	-
296	30	30	30	match	-
297	19	19	19	match	-
298	114	114	114	match	-
299	2	2	2	match	-
300	3	3	3	match	-
301	70	70	70	match	-
302	3	3	3	match	-
303	6	6	6	match	-
304	9	9	9	match	-
305	2	2	2	match	-
306	18	18	18	match	-
307	3	3	3	match	-
308	2	2	2	match	-
309	4	4	4	match	-
310	9	9	9	match	-
311	2	2	2	match	-
312	35	35	35	match	-
313	3	3	3	match	-
314	56	56	56	match	-
315	3	3	3	match	-
316	3	3	3	match	-
317	14	14	14	match	-
318	5	5	5	match	-
319	2	2	2	match	-
320	2	2	2	match	-
321	222	222	222	match	-
322	6	6	6	match	-
323	3	3	3	match	-
324	2	2	2	match	-
325	35	35	35	match	-
326	3	3	3	match	-
327	3	3	3	match	-
328	7	7	7	match	-
329	4	4	4	match	-
330	7	7	7	match	-
331	3	3	3	match	-
332	4	4	4	match	-
333	17	17	17	match	-
334	4	4	4	match	-
335	3	3	3	match	-
336	179	179	179	match	-
337	3	3	3	match	-
338	2	2	2	match	-
339	2	2	2	match	-
340	49	49	49	match	-
341	43	43	43	match	-
342	178	178	178	match	-
343	2	2	2	match	-
344	12	12	12	match	-
345	3	3	3	match	-
346	2	2	2	match	-
347	29	29	29	match	-
348	2	2	2	match	-
349	3	3	3	match	-
350	46	46	46	match	-
351	2	2	2	match	-
352	48	48	48	match	-
353	2	2	2	match	-
354	2	2	2	match	-
355	85	85	85	match	-
356	2	2	2	match	-
357	9	9	9	match	-
358	2	2	2	match	-
359	2	2	2	match	-
360	41	41	41	match	-
361	4	4	4	match	-
362	8	8	8	match	-
363	2	2	2	match	-
364	5	5	5	match	-
365	2	2	2	match	-
366	3	3	3	match	-
367	3	3	3	match	-
368	3	3	3	match	-
369	6	6	6	match	-
370	2	2	2	match	-
371	2	2	2	match	-
372	4	4	4	match	-
373	3	3	3	match	-
374	2	2	2	match	-
375	2	2	2	match	-
376	3	3	3	match	-
377	242	242	242	match	-
378	2	2	2	match	-
379	12	12	12	match	-
380	43	43	43	match	-
381	3	3	3	match	-
382	2	2	2	match	-
383	2	2	2	match	-
384	2	2	2	match	-
385	183	183	183	match	-
386	3	3	3	match	-
387	3	3	3	match	-
388	2	2	2	match	-
389	4	4	4	match	-
390	2	2	2	match	-
391	5	5	5	match	-
392	5	5	5	match	-
393	2	2	2	match	-
394	4	4	4	match	-
395	7	7	7	match	-
396	204	204	204	match	-
397	9	9	9	match	-
398	2	2	2	match	-
399	2	2	2	match	-
400	2	2	2	match	-
401	2	2	2	match	-
402	2	2	2	match	-
403	2	2	2	match	-
404	43	43	43	match	-
405	4	4	4	match	-
406	3	3	3	match	-
407	2	2	2	match	-
408	2	2	2	match	-
409	3	3	3	match	-
410	3	3	3	match	-
411	457	457	457	match	-
412	2	2	2	match	-
413	2	2	2	match	-
414	2	2	2	match	-
415	5	5	5	match	-
416	416	416	416	match	-
417	3	3	3	match	-
418	3	3	3	match	-
419	4	4	4	match	-
420	2	2	2	match	-
421	142	142	142	match	-
422	2	2	2	match	-
423	2	2	2	match	-
424	2	2	2	match	-
425	2	2	2	match	-
426	3	3	3	match	-
427	108	108	108	match	-
428	2	2	2	match	-
429	3	3	3	match	-
430	3	3	3	match	-
431	2	2	2	match	-
432	6	6	6	match	-
433	2	2	2	match	-
434	4	4	4	match	-
435	16	16	16	match	-
436	2	2	2	match	-
437	9	9	9	match	-
438	3	3	3	match	-
439	4	4	4	match	-
440	139	139	139	match	-
441	2	2	2	match	-
442	2	2	2	match	-
443	2	2	2	match	-
444	19	19	19	match	-
445	2	2	2	match	-
446	13	13	13	match	-
447	2	2	2	match	-
448	84	84	84	match	-
449	2	2	2	match	-
450	8	8	8	match	-
451	61	61	61	match	-
452	2	2	2	match	-
453	2	2	2	match	-
454	14	14	14	match	-
455	194	194	194	match	-
456	2	2	2	match	-
457	372	372	372	match	-
458	2	2	2	match	-
459	2	2	2	match	-
460	2	2	2	match	-
461	3	3	3	match	-
462	2	2	2	match	-
463	9	9	9	match	-
464	4	4	4	match	-
465	4	4	4	match	-
466	65	65	65	match	-
467	4	4	4	match	-
468	2	2	2	match	-
469	6	6	6	match	-
470	3	3	3	match	-
471	2	2	2	match	-
472	79	79	79	match	-
473	3	3	3	match	-
474	69	69	69	match	-
475	6	6	6	match	-
476	153	153	153	match	-
477	2	2	2	match	-
478	111	111	111	match	-
479	4	4	4	match	-
480	2	2	2	match	-
481	2	2	2	match	-
482	3	3	3	match	-
483	57	57	57	match	-
484	2	2	2	match	-
485	2	2	2	match	-
486	81	81	81	match	-
487	3	3	3	match	-
488	70	70	70	match	-
489	2	2	2	match	-
490	4	4	4	match	-
491	3	3	3	match	-
492	2	2	2	match	-
493	5	5	5	match	-
494	2	2	2	match	-
495	110	110	110	match	-
496	27	27	27	match	-
497	17	17	17	match	-
498	2	2	2	match	-
499	5	5	5	match	-
500	4	4	4	match	-
501	9	9	9	match	-
502	3	3	3	match	-
503	6	6	6	match	-
504	14	14	14	match	-
505	7	7	7	match	-
506	2	2	2	match	-
507	6	6	6	match	-
508	47	47	47	match	-
509	2	2	2	match	-
510	2	2	2	match	-
511	3	3	3	match	-
512	2	2	2	match	-
513	17	17	17	match	-
514	117	117	117	match	-
515	5	5	5	match	-
516	48	48	48	match	-
517	2	2	2	match	-
518	2	2	2	match	-
519	3	3	3	match	-
520	8	8	8	match	-
521	2	2	2	match	-
522	3	3	3	match	-
523	15	15	15	match	-
524	4	4	4	match	-
525	5	5	5	match	-
526	2	2	2	match	-
527	3	3	3	match	-
528	2	2	2	match	-
529	5	5	5	match	-
530	2	2	2	match	-
531	4	4	4	match	-
532	6	6	6	match	-
533	3	3	3	match	-
534	4	4	4	match	-
535	4	4	4	match	-
536	2	2	2	match	-
537	2	2	2	match	-
538	2	2	2	match	-
539	2	2	2	match	-
540	2	2	2	match	-
541	2	2	2	match	-
542	5	5	5	match	-
543	258	258	258	match	-
544	3	3	3	match	-
545	8	8	8	match	-
546	31	31	31	match	-
547	2	2	2	match	-
548	3	3	3	match	-
549	57	57	57	match	-
550	6	6	6	match	-
551	2	2	2	match	-
552	3	3	3	match	-
553	51	51	51	match	-
554	2	2	2	match	-
555	2	2	2	match	-
556	2	2	2	match	-
557	30	30	30	match	-
558	4	4	4	match	-
559	14	14	14	match	-
560	24	24	24	match	-
561	17	17	17	match	-
562	5	5	5	match	-
563	2	2	2	match	-
564	6	6	6	match	-
565	7	7	7	match	-
566	5	5	5	match	-
567	4	4	4	match	-
568	2	2	2	match	-
569	17	17	17	match	-
570	3	3	3	match	-
571	4	4	4	match	-
572	2	2	2	match	-
573	21	21	21	match	-
574	2	2	2	match	-
575	2	2	2	match	-
576	2	2	2	match	-
577	23	23	23	match	-
578	2	2	2	match	-
579	2	2	2	match	-
580	3	3	3	match	-
581	199	199	199	match	-
582	9	9	9	match	-
583	367	367	367	match	-
584	4	4	4	match	-
585	3	3	3	match	-
586	2	2	2	match	-
587	60	60	60	match	-
588	2	2	2	match	-
589	2	2	2	match	-
590	3	3	3	match	-
591	4	4	4	match	-
592	94	94	94	match	-
593	9	9	9	match	-
594	120	120	120	match	-
595	3	3	3	match	-
596	4	4	4	match	-
597	2	2	2	match	-
598	8	8	8	match	-
599	9	9	9	match	-
600	2	2	2	match	-
601	6	6	6	match	-
602	39	39	39	match	-
603	6	6	6	match	-
604	64	64	64	match	-
