Block	Agreement	SNP count
69071	match	2
69083	match	1
76210	match	1
76294	match	1
77582	match	1
77585	match	1
80119	match	1
80124	match	1
82105	match	1
82115	match	1
94026	match	1
94083	match	1
94136	match	1
94870	match	1
94872	match	1
95226	match	1
95229	match	1
98407	match	1
99101	match	1
99695	match	1
99761	match	1
103674	match	1
103764	match	1
105889	match	1
105895	match	1
111408	match	1
111438	match	1
118255	match	1
118296	match	1
118805	match	1
118871	match	1
119413	match	1
119477	match	1
119751	match	1
119796	match	1
121408	match	1
121418	match	1
122040	match	1
122074	match	1
122284	match	1
122296	match	1
125008	match	1
125009	match	1
133273	match	1
133341	match	1
133947	match	1
133998	match	1
142123	match	1
142189	match	1
143543	match	1
143904	match	1
143907	match	1
143908	match	1
143910	match	1
144593	match	1
144663	match	1
144672	match	1
154686	match	1
154819	match	1
154849	match	1
158946	match	1
158971	match	1
160931	match	1
160932	match	1
160934	match	1
168005	match	1
168027	match	1
168029	match	1
170171	match	1
170195	match	1
173835	match	1
173893	match	1
184073	match	1
184075	match	1
184088	match	1
184091	match	1
184176	match	1
184276	match	1
184844	match	1
184845	match	1
184861	match	1
184866	match	1
187379	match	1
187381	match	1
204363	match	1
204405	match	1
226529	match	1
226530	match	1
231497	match	1
231501	match	1
231508	match	1
231512	match	1
231528	match	1
231533	match	1
231536	match	1
243108	match	1
243134	match	1
251957	match	1
251966	match	1
256834	match	1
256848	match	1
257037	match	1
263332	match	1
263336	match	1
263343	match	1
263345	match	1
263346	match	1
263360	match	1
263365	match	1
269010	match	1
269022	match	1
269032	match	1
269101	match	1
269103	match	1
272164	match	1
272183	match	1
272190	match	1
272195	match	1
272196	match	1
276171	match	1
276181	match	1
276189	match	1
276203	match	1
279191	match	1
279248	match	1
279496	match	1
279497	match	1
283319	match	1
283349	match	1
285002	match	1
285062	match	1
285063	match	1
285113	match	1
285200	match	1
289691	match	1
289697	match	1
296841	match	1
296844	match	1
296857	match	1
296888	match	1
296958	match	1
301406	match	1
301415	match	1
301455	match	1
301461	match	1
309526	match	1
309589	match	1
309823	match	1
309847	match	1
309848	match	1
309995	match	1
310049	match	1
310050	match	1
310052	match	1
310055	match	1
310559	match	1
310562	match	1
310563	match	1
310564	match	1
310567	match	1
310622	match	1
310941	match	1
310966	match	1
318286	match	1
318292	match	1
325126	match	1
325134	match	1
345716	match	1
345721	match	1
345722	match	1
348775	match	1
348846	match	1
349509	match	1
349521	match	1
349524	match	1
350467	match	1
350469	match	1
366236	match	1
366245	match	1
366246	match	1
367482	match	1
368313	match	1
368324	match	1
368618	match	1
368669	match	1
368671	match	1
368705	match	1
368716	match	1
369203	match	1
369246	match	1
369295	match	1
369393	match	1
382812	match	1
383201	match	1
383206	match	1
383208	match	1
383234	match	1
383343	match	1
383634	match	1
383685	match	1
383720	match	1
383747	match	1
383759	match	1
391621	match	1
392057	match	1
392144	match	1
392170	match	1
392171	match	1
392172	match	1
392175	match	1
392177	match	1
392309	match	1
392310	match	1
392317	match	1
392334	match	1
392363	match	1
392438	match	1
392451	match	1
392551	match	1
392592	match	1
392593	match	1
392686	match	1
392722	match	1
393171	match	1
393194	match	1
393257	match	1
393282	match	1
393387	match	1
393501	match	1
393577	match	1
393629	match	1
393669	match	1
393674	match	1
393824	match	1
393825	match	1
393926	match	1
393992	match	1
407584	match	1
407657	match	1
413910	match	1
413914	match	1
413934	match	1
414108	match	1
414166	match	1
414211	match	1
421182	match	1
421231	match	1
422146	match	1
422155	match	1
423211	match	1
423226	match	1
424971	match	1
425793	match	1
425795	match	1
425817	match	1
425890	match	1
429932	match	1
429977	match	1
431110	match	1
431161	match	1
431732	match	1
431821	match	1
440102	match	1
440187	match	1
440431	match	1
440436	match	1
440449	match	1
441103	match	1
441105	match	1
441122	match	1
443284	match	1
443286	match	1
443288	match	1
443289	match	1
443291	match	1
453567	match	1
453638	match	1
457725	match	1
458477	match	1
458993	match	1
459059	match	1
459060	match	1
459064	match	1
459067	match	1
460681	match	1
460682	match	1
460683	match	1
460695	match	1
462794	match	1
462885	match	1
463246	match	1
463263	match	1
463488	match	1
463573	match	1
463577	match	1
463579	match	1
463593	match	1
463599	match	1
463611	match	1
463615	match	1
463667	match	1
463668	match	1
463674	match	1
463729	match	1
463749	match	1
463750	match	1
463767	match	1
463797	match	1
463863	match	1
463864	match	1
463877	match	1
463878	match	1
464208	match	1
464211	match	1
464212	match	1
475177	match	1
475199	match	1
482426	match	1
482458	match	1
482678	match	1
482827	match	1
482915	match	1
484651	match	1
484658	match	1
484660	match	1
484661	match	1
484668	match	1
484669	match	1
484670	match	1
484686	match	1
484694	match	1
490052	match	1
490472	match	1
492956	match	1
492961	match	1
492962	match	1
492964	match	1
498700	match	1
498701	match	1
501527	match	1
501584	match	1
511472	match	1
511490	match	1
511496	match	1
511501	match	1
512187	match	1
512210	match	1
513352	match	1
513358	match	1
513373	match	1
513377	match	1
513379	match	1
513395	match	1
513396	match	1
513398	match	1
519463	match	1
519547	match	1
519591	match	1
522117	match	1
522126	match	1
522128	match	1
522131	match	1
522134	match	1
523394	match	1
523396	match	1
523400	match	1
523956	match	1
523980	match	1
524021	match	1
524033	match	1
524037	match	1
524038	match	1
524046	match	1
524053	match	1
524057	match	1
524071	match	1
524077	match	1
524078	match	1
524081	match	1
524093	match	1
524103	match	1
524111	match	1
524112	match	1
524113	match	1
524116	match	1
524123	match	1
524145	match	1
524153	match	1
524231	match	1
524246	match	1
524257	match	1
524261	match	1
524266	match	1
524273	match	1
524275	match	1
524277	match	1
524283	match	1
524361	match	1
524363	match	1
